x position,z position,Sample water,Sample sand,Sample salt,concentration
[cm],[cm],[g],[g],[g],[wt.%]
0,0,0.18911,0.65014,0.03111,14.12678
4,0,0.28452,1.01313,0.00373,1.29402
9,0,0.32237,1.12396,0.03642,10.15078
14,0,0.27866,0.90894,0.02253,7.48033
19,0,0.21689,0.81797,0.02666,10.94642
25,0,0.30174,1.11945,0.03208,9.60997
28,0,0.29778,1.08936,0.02503,7.75379
34,0,0.24112,0.87058,0.02143,8.16225
39,0,0.21942,0.74892,0.02452,10.05165
0,2,0.23996,0.82505,0.02776,10.36904
4,2,0.2503,0.86997,0.02104,7.75411
9,2,0.26441,0.96396,0.03497,11.68081
14,2,0.21584,0.81515,0.01801,7.70152
19,2,0.16911,0.65298,0.02397,12.41454
25,2,0.22485,0.78666,0.02344,9.44057
28,2,0.16156,0.58899,0.01585,8.93411
34,2,0.23587,0.91442,0.01803,7.10122
39,2,0.31814,1.11694,0.03497,9.90343
0,4,0.25189,0.86282,0.02452,8.87088
4,4,0.31833,1.16013,0.02369,6.9265
9,4,0.26712,1.02151,0.0351,11.61406
14,4,0.29503,1.09847,0.02358,7.4009
19,4,0.28371,1.10099,0.03511,11.01248
25,4,0.26873,1.04452,0.02387,8.15789
28,4,0.32283,1.19871,0.02802,7.98632
34,4,0.56637,0.95124,0.01919,3.2772
39,4,0.2496,0.88075,0.02653,9.60779
0,6,0.26429,0.94374,0.02613,8.99731
4,6,0.34538,1.20085,0.0238,6.44672
9,6,0.27968,1.00269,0.02884,9.34785
14,6,0.31262,1.08102,0.01984,5.96764
19,6,0.203,0.83444,0.02533,11.09359
25,6,0.33298,1.16424,0.02396,6.71261
28,6,0.26471,0.97871,0.02197,7.6636
34,6,0.23926,0.96637,0.01651,6.45502
39,6,0.30761,1.13139,0.03248,9.55041
0,8,0.16364,0.53992,0.01763,9.72582
4,8,0.42437,1.58501,0.02953,6.50584
9,8,0.32338,1.14818,0.02921,8.28441
14,8,0.3231,1.18667,0.02172,6.29894
19,8,0.18848,0.76935,0.02344,11.06078
25,8,0.37274,1.3186,0.0239,6.02562
28,8,0.19749,0.75453,0.01684,7.85704
34,8,0.17237,0.63499,0.01314,7.08318
39,8,0.21717,0.76533,0.02616,10.75083
0,10,0.21948,0.75237,0.02385,9.8015
4,10,0.24624,0.87199,0.01854,7.00204
9,10,0.17755,0.62041,0.01669,8.59246
14,10,0.28215,1.02346,0.02041,6.74577
19,10,0.30072,1.17315,0.0281,8.54571
25,10,0.21359,0.75054,0.01478,6.47195
28,10,0.25179,0.85384,0.01954,7.20156
34,10,0.24525,0.98445,0.01816,6.8942
39,10,0.19696,0.73591,0.02196,10.03106
0,12,0.25275,0.98364,0.02665,9.5383
4,12,0.33401,1.26916,0.02594,7.20656
9,12,0.17576,0.74566,0.01869,9.61173
14,12,0.28086,1.08657,0.02074,6.87666
19,12,0.25016,0.92861,0.01764,6.58701
25,12,0.27381,1.0562,0.01997,6.7976
28,12,0.2522,0.95041,0.02191,7.99314
34,12,0.25755,1.06305,0.01997,7.19588
39,12,0.26226,1.0814,0.02803,9.65586
0,14,0.13328,0.54959,0.01641,10.96266
4,14,0.26096,0.94422,0.02105,7.46427
9,14,0.2017,0.80622,0.02211,9.87892
14,14,0.28542,1.09794,0.0237,7.66693
19,14,0.39271,1.53506,0.03098,7.31195
25,14,0.23655,0.90551,0.02113,8.20009
28,14,0.22124,0.87318,0.02029,8.40061
34,14,0.24926,0.9734,0.02264,8.32659
39,14,0.13957,0.57654,0.01735,11.05659
0,16,0.12095,0.6825,0.01049,7.98083
4,16,0.12928,0.64297,0.00939,6.77147
9,16,0.09734,0.47821,0.0069,6.61934
14,16,0.2925,1.34628,0.02089,6.66582
19,16,0.31163,1.43464,0.0207,6.22875
25,16,0.28284,1.31788,0.01866,6.18905
28,16,0.32592,1.43965,0.02099,6.05056
34,16,0.26006,1.25154,0.01669,6.03071
39,16,0.20717,1.1137,0.01569,7.04029
