location,site,latitude,longitude,year,d_s,sigma_d_s,kappa,sigma_kappa,lambda,sigma_lambda
,,,,,microns,microns,m^2,m^2,m,m,
Death Valley,Badwater Basin (1),36°13.651',-116°46.723',2016,59.0,15.0,4.99,2.95,1.42,0.58
Death Valley,Badwater Basin (2),36°13.674',-116°46.735',2016,66.0,12.0,6.24,2.91,1.42,0.58
Death Valley,Badwater Basin (3),36°13.665',-116°46.820',2016,67.0,9.0,6.52,2.56,1.27,0.55
Death Valley,Badwater Basin (4),36°13.660',-116°46.903',2016,72.0,3.0,7.39,2.29,0.58,0.32
Death Valley,Badwater Basin (5),36°13.654',-116°47.036',2016,50.0,15.0,3.1,2.35,0.55,0.28
Owens Lake,T10-3,36°23.147',-117°56.772',2018,4.3,0.6,0.03,0.02,1.79,0.86
Owens Lake,T16,36°23.953',-117°56.454',2018,6.8,1.6,0.07,0.04,1.19,0.51
Owens Lake,T2-4,36°20.803',-117°58.642',2016,29.0,14.0,1.23,1.12,1.13,0.54
Owens Lake,T2-5 (1),36°21.055',-117°58.824',2016,24.0,4.0,0.81,0.35,1.04,0.41
Owens Lake,T2-5 (2),36°20.895',-117°58.740',2016,20.0,3.0,0.55,0.22,0.94,0.5
Owens Lake,T2-5 (3),36°20.877',-117°58.711,2018,18.0,3.0,0.46,0.18,1.62,0.65
Owens Lake,T25-3 (1),36°27.039',-117°54.510',2018,11.0,2.0,0.17,0.08,2.25,0.89
Owens Lake,T25-3 (2),36°28.383',-117°54.957',2018,24.0,4.0,0.83,0.36,1.18,0.56
Owens Lake,T27-A (1),36°29.302',-117°55.953',2016,31.0,8.0,1.35,0.81,1.7,0.65
Owens Lake,T27-A (2),36°29.061',-117°55.602',2016,33.0,4.0,1.55,0.56,2.72,0.98
Owens Lake,T27-A (3),36°29.112',-117°55.804',2018,22.0,3.0,0.71,0.26,1.44,0.55
Owens Lake,T29-3 (1),36°29.955',-117°55.999',2016,138.0,23.0,27.42,12.2,3.02,1.4
Owens Lake,T29-3 (2),36°29.960',-117°55.962',2016,116.0,22.0,19.49,9.29,2.8,1.34
Owens Lake,T36-3 (1),36°29.953',-117°58.505',2016,46.0,4.0,3.04,1.01,1.17,0.91
Owens Lake,T36-3 (2),36°30.050',-117°58.518',2016,35.0,8.0,1.82,0.99,2.27,1.03
Owens Lake,T36-3 (3),36°29.724',-117°57.916',2016,75.0,25.0,8.08,5.83,1.43,0.62
Owens Lake,T8-W,36°22.522',-117°57.256',2018,8.7,2.6,0.11,0.08,0.87,0.41
Sua Pan,B7,-20°35.046',25°54.654',2012,9.6,0.9,0.13,0.05,0.92,0.48
Sua Pan,L5,-20°33.996',26°0.420',2012,11.6,1.1,0.2,0.08,0.59,0.22
Sua Pan,D10,-20°36.678',25°55.794',2012,10.6,1.4,0.16,0.07,0.41,0.16
Sua Pan,J11,-20°37.242',25°59.250',2012,10.6,1.4,0.16,0.07,0.69,0.27
Sua Pan,B3,-20°32.880',25°54.672',2012,10.6,1.4,0.16,0.07,0.58,0.22
Sua Pan,D5,-20°33.972',25°55.818',2012,10.6,1.4,0.16,0.07,0.95,0.33
Sua Pan,I4,-20°33.447',25°58.699',2012,10.6,1.4,0.16,0.07,0.53,0.2
