site,a,error_a,Ra,lower_error_Ra,upper_error_Ra
T27S_T1,0.628564974237625,0.3433,2892.1530,1896.1783,4689.3023
T27-A_P1,0.55786066912609,0.2868,5994.1809,3798.5965,9167.5714
T27-A_P2,0.348380807714638,0.1733,6915.6693,3164.4248,6364.8503
T29-3_P1,0.314074076981466,0.1807,121991.2723,65431.0361,142486.1061
T29-3_P2,0.338181869395252,0.1986,86703.8085,48499.7984,108144.0694
T32-1-L1_T1,0.608770833018059,0.3321,8188.3196,5784.2787,15176.1990
T32-1-L1_T2,0.357451855160792,0.1801,2491.9392,1365.3860,3008.7727
T32-1-L1_T3,0.389813751512798,0.1988,8923.3274,5606.2385,13449.5325
T36-3_P1,0.80685469861678,0.6821,13537.5470,5813.8731,11368.9269
T36-3_P2,0.41765759090657,0.2369,8085.5712,4882.3755,11407.5302
T36-3_P3,0.660714366452313,0.3621,35924.2109,25169.4143,65579.9761
T2-5_P1,0.915214894856135,0.4744,3593.8507,1874.4798,4021.0109
T2-5_P2,1.00771001720862,0.6374,2436.3536,1183.2648,2447.9656
T2-5_P3,0.585443396894994,0.3095,2032.6038,976.5393,2009.7060
T2-4_P1,0.841997703267645,0.4920,5456.8539,4363.4453,12938.8550
T27-A_P3,0.655534544066505,0.3332,3171.6078,1441.1463,2889.4616
T16_P1,0.680493833459842,0.3400,293.8722,176.3561,410.4147
T10-3-P1,0.529780434102964,0.3121,117.0516,59.6699,126.4790
T8-W_P1,1.08754008745821,0.6305,485.4374,324.2050,812.9837
T25-3_P1,0.42062496277802,0.2203,770.8652,413.8845,901.8042
T25-3_3D,0.804114954309083,0.4708,3696.7308,1928.6520,4137.7991
BB_P1,0.85892813109614,0.4875,28643.0556,18666.4473,51278.4244
BB_P2,0.85892813109614,0.4875,35792.8885,20620.2214,52169.7591
BB_P3,0.959383618955892,0.5623,37444.1682,19459.4886,46452.3485
BB_P4,2.1037086584334,1.4074,42418.5300,17429.9758,37335.0392
BB_P5,2.21824814981816,1.4135,21064.0586,14282.8156,40446.2647
BP_P1,0.440170732423838,0.2315,13791.2767,9897.1991,26324.7597
Sua_B7_2012,0.585805452180643,0.5073,341.1191,201.4241,1090.7952
Sua_L5_2012,0.911252925614334,0.7190,496.6207,293.7873,1592.6592
Sua_D10_2012,1.33650429090102,1.0692,415.2302,259.4997,1454.3294
Sua_J11_2012,0.783334642279181,0.6231,415.2302,259.4997,1454.3294
Sua_B3_2012,0.941363891852025,0.7481,415.2302,259.4997,1454.3294
Sua_D5_2012,0.569772881910436,0.4442,415.2302,259.4997,1454.3294
Sua_I4_2012,1.01554266006551,0.8034,415.2302,259.4997,1454.3294
